pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, -nan, nan, 0, inf
1,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, -nan, nan, 0, inf
2,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, -nan, nan, 0, inf
3,-nan, -nan, -nan, -nan, -nan, -nan, 0.010101010091602802276611328125, 0, nan, -nan, 0, inf
4,-0.507572352886199951171875, -0.5, -0.5, -6.2543773651123046875, 0, 0, 0.010101010091602802276611328125, 0.003756535239517688751220703125, 0.00218788604252040386199951171875, 1.4538249969482421875, 0.763165295124053955078125, 5.37783336639404296875
5,-0.473643004894256591796875, -0.5, -0.5, -1.06716215610504150390625, 0, 0, 0.010101010091602802276611328125, 0.25007152557373046875, 0.1827174127101898193359375, 1.8262560367584228515625, 0.85478687286376953125, 0.080784969031810760498046875
6,-0.4531960189342498779296875, -0.5, -0.5, -0.6413209438323974609375, 0, 0, 0.010101010091602802276611328125, 0.47714996337890625, 0.3827581703662872314453125, 2.005120754241943359375, 0.895642697811126708984375, 0.0423389337956905364990234375
7,-0.4377665221691131591796875, -0.5, -0.5, -0.4184468090534210205078125, 0, 0, 0.010101010091602802276611328125, 0.71517169475555419921875, 0.61934244632720947265625, 2.1647403240203857421875, 0.930594027042388916015625, 0.02824779041111469268798828125
8,-0.4244964122772216796875, -0.5, -0.5, -0.2786025106906890869140625, 0, 0, 0.010101010091602802276611328125, 0.796135604381561279296875, 0.72131121158599853515625, 2.2648296356201171875, 0.951848506927490234375, 0.02537509985268115997314453125
9,-0.412009775638580322265625, -0.5, -0.5, -0.1814295947551727294921875, 0, 0, 0.010101010091602802276611328125, 0.841477811336517333984375, 0.785939753055572509765625, 2.33484363555908203125, 0.966436445713043212890625, 0.02400778792798519134521484375
10,-0.4004966914653778076171875, -0.5, -0.5, -0.117899678647518157958984375, 0, 0, 0.010101010091602802276611328125, 0.90554821491241455078125, 0.869378268718719482421875, 2.4000246524810791015625, 0.979825198650360107421875, 0.02230915986001491546630859375
11,-0.3896982371807098388671875, -0.5, -0.5, -0.071854434907436370849609375, 0, 0, 0.010101010091602802276611328125, 0.94793140888214111328125, 0.92632567882537841796875, 2.4429261684417724609375, 0.988538086414337158203125, 0.0213116891682147979736328125
12,-0.3791665136814117431640625, -0.5, -0.5, -0.0363576151430606842041015625, 0, 0, 0.010101010091602802276611328125, 0.97264230251312255859375, 0.9595234394073486328125, 2.4662153720855712890625, 0.993233144283294677734375, 0.02077024616301059722900390625
13,-0.368812978267669677734375, -0.5, -0.5, -0.0163356773555278778076171875, 0, 0, 0.010101010091602802276611328125, 0.98595869541168212890625, 0.9791810512542724609375, 2.4827783107757568359375, 0.9965569972991943359375, 0.0204897224903106689453125
14,-0.35862815380096435546875, -0.5, -0.5, -0.00764776580035686492919921875, 0, 0, 0.010101010091602802276611328125, 0.994367122650146484375, 0.99177062511444091796875, 2.493454456329345703125, 0.998693525791168212890625, 0.02031646110117435455322265625
15,-0.3485049307346343994140625, -0.5, -0.5, -0.00327049358747899532318115234375, 0, 0, 0.010101010091602802276611328125, 0.998589456081390380859375, 0.99769818782806396484375, 2.4977600574493408203125, 0.999553620815277099609375, 0.02023055590689182281494140625
16,-0.338388741016387939453125, -0.5, -0.5, -0.0008847484714351594448089599609375, 0, 0, 0.010101010091602802276611328125, 0.99974262714385986328125, 0.999348819255828857421875, 2.49901103973388671875, 0.999803006649017333984375, 0.02020722068846225738525390625
17,-0.328282833099365234375, -0.5, -0.5, -0.00010404569911770522594451904296875, 0, 0, 0.010101010091602802276611328125, 0.9998626708984375, 0.999708116054534912109375, 2.499612331390380859375, 0.999922692775726318359375, 0.02020479552447795867919921875
18,-0.318181812763214111328125, -0.5, -0.5, -2.0987861717003397643566131591796875e-05, 0, 0, 0.010101010091602802276611328125, 0.99994027614593505859375, 0.99992763996124267578125, 2.4999682903289794921875, 0.99999368190765380859375, 0.02020322717726230621337890625
19,-0.30808079242706298828125, -0.5, -0.5, -2.1404774088296107947826385498046875e-05, 0, 0, 0.010101010091602802276611328125, 1.0000054836273193359375, 1.00000536441802978515625, 2.5, 0.999999940395355224609375, 0.0202019102871417999267578125
20,-0.2979798018932342529296875, -0.5, -0.5, -1.30597027236944995820522308349609375e-05, 0, 0, 0.010101010091602802276611328125, 1.000013828277587890625, 1.00001370906829833984375, 2.5, 0.999999940395355224609375, 0.02020174078643321990966796875
21,-0.2878787815570831298828125, -0.5, -0.5, -1.1078100925487888162024319171905517578125e-07, 0, 0, 0.010101010091602802276611328125, 1.00000369548797607421875, 1.0000035762786865234375, 2.5, 0.999999940395355224609375, 0.02020194567739963531494140625
22,-0.27777779102325439453125, -0.5, -0.5, 3.931958417524583637714385986328125e-06, 0, 0, 0.010101010091602802276611328125, 0.999998569488525390625, 0.999998509883880615234375, 2.5, 0.999999940395355224609375, 0.02020204998552799224853515625
23,-0.267676770687103271484375, -0.5, -0.5, 1.2473655033318209461867809295654296875e-06, 0, 0, 0.010101010091602802276611328125, 0.99999868869781494140625, 0.999998629093170166015625, 2.5, 0.999999940395355224609375, 0.02020204626023769378662109375
24,-0.2575757503509521484375, -0.5, -0.5, -6.58955968901864252984523773193359375e-07, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
25,-0.2474747598171234130859375, -0.5, -0.5, 7.103830768073748913593590259552001953125e-08, 0, 0, 0.010101010091602802276611328125, 1.0000002384185791015625, 1.00000011920928955078125, 2.5, 0.999999940395355224609375, 0.0202020145952701568603515625
26,-0.2373737394809722900390625, -0.5, -0.5, -2.43542768174620505305938422679901123046875e-08, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
