pid1, pid2, w, dwdx_x, dwdx_y, dwdx_z
4,3,9.87265777587890625,-149.57269287109375,-0,-0
5,3,7.29441928863525390625,-240.8614654541015625,-0,-0
5,4,15.56872653961181640625,-530.10162353515625,-0,-0
6,4,7.190922260284423828125,-588.5321044921875,-0,-0
6,5,17.72527313232421875,-913.7392578125,-0,-0
7,4,1.7682015895843505859375,-252.367279052734375,-0,-0
7,5,6.257033824920654296875,-759.515869140625,-0,-0
7,6,20.100505828857421875,-1121.6513671875,-0,-0
8,5,0.953062355518341064453125,-222.9210662841796875,-0,-0
8,6,7.53015041351318359375,-962.00482177734375,-0,-0
8,7,22.029323577880859375,-1288.0279541015625,-0,-0
9,6,1.1376521587371826171875,-278.134674072265625,-0,-0
9,7,7.985330104827880859375,-1092.63330078125,-0,-0
9,8,22.684230804443359375,-1402.716064453125,-0,-0
10,7,1.10203111171722412109375,-294.873809814453125,-0,-0
10,8,7.963149547576904296875,-1139.837890625,-0,-0
10,9,23.1290283203125,-1470.8701171875,-0,-0
11,8,1.0484879016876220703125,-296.893341064453125,-0,-0
11,9,8.10823726654052734375,-1184.7430419921875,-0,-0
11,10,23.5519733428955078125,-1503.756103515625,-0,-0
12,9,1.0492155551910400390625,-303.9324951171875,-0,-0
12,10,8.293453216552734375,-1218.6617431640625,-0,-0
12,11,23.721225738525390625,-1524.844970703125,-0,-0
13,10,1.06602871417999267578125,-310.433135986328125,-0,-0
13,11,8.27690601348876953125,-1225.2337646484375,-0,-0
13,12,23.708873748779296875,-1533.95556640625,-0,-0
14,11,1.04633343219757080078125,-308.481658935546875,-0,-0
14,12,8.23169231414794921875,-1223.6402587890625,-0,-0
14,13,23.7164764404296875,-1532.5511474609375,-0,-0
15,12,1.026305675506591796875,-305.362457275390625,-0,-0
15,13,8.2430782318115234375,-1224.7861328125,-0,-0
15,14,23.7178783416748046875,-1530.9371337890625,-0,-0
16,13,1.02809202671051025390625,-305.76983642578125,-0,-0
16,14,8.25111293792724609375,-1225.140625,-0,-0
16,15,23.7178783416748046875,-1531.0035400390625,-0,-0
17,14,1.031511783599853515625,-306.321929931640625,-0,-0
17,15,8.25130939483642578125,-1225.1258544921875,-0,-0
17,16,23.7186450958251953125,-1531.3671875,-0,-0
18,14,2.3762949073746764128145514405332505702972412109375e-12,-5.3431058404385112226009368896484375e-06,-0,-0
18,15,1.03192341327667236328125,-306.381195068359375,-0,-0
18,16,8.25020122528076171875,-1225.12255859375,-0,-0
18,17,23.7188739776611328125,-1531.4688720703125,-0,-0
19,16,1.0314090251922607421875,-306.304412841796875,-0,-0
19,17,8.2498073577880859375,-1225.1226806640625,-0,-0
19,18,23.7187938690185546875,-1531.43359375,-0,-0
20,17,1.0311758518218994140625,-306.270233154296875,-0,-0
20,18,8.2499141693115234375,-1225.126220703125,-0,-0
20,19,23.7187747955322265625,-1531.4027099609375,-0,-0
21,18,1.031194210052490234375,-306.27294921875,-0,-0
21,19,8.2500095367431640625,-1225.1260986328125,-0,-0
21,20,23.718723297119140625,-1531.40234375,-0,-0
22,19,1.03125488758087158203125,-306.28240966796875,-0,-0
22,20,8.25002574920654296875,-1225.126220703125,-0,-0
22,21,23.7187786102294921875,-1531.40478515625,-0,-0
23,20,1.0312578678131103515625,-306.282379150390625,-0,-0
23,21,8.2500152587890625,-1225.1258544921875,-0,-0
23,22,23.7187347412109375,-1531.4071044921875,-0,-0
24,21,1.0312519073486328125,-306.281494140625,-0,-0
24,22,8.24997425079345703125,-1225.12255859375,-0,-0
24,23,23.7187328338623046875,-1531.40673828125,-0,-0
25,22,1.031248569488525390625,-306.281005859375,-0,-0
25,23,8.250011444091796875,-1225.126220703125,-0,-0
25,24,23.7187786102294921875,-1531.405029296875,-0,-0
26,23,1.0312507152557373046875,-306.281341552734375,-0,-0
26,24,8.25001239776611328125,-1225.1260986328125,-0,-0
26,25,23.7187328338623046875,-1531.406494140625,-0,-0
27,24,1.03125,-306.28125,-0,-0
27,25,8.249973297119140625,-1225.122314453125,-0,-0
27,26,23.7187328338623046875,-1531.406494140625,-0,-0
28,25,1.03125,-306.28125,-0,-0
28,26,8.25001239776611328125,-1225.1260986328125,-0,-0
28,27,23.7187786102294921875,-1531.405029296875,-0,-0
29,26,1.0312507152557373046875,-306.281341552734375,-0,-0
29,27,8.25001239776611328125,-1225.1260986328125,-0,-0
29,28,23.7187328338623046875,-1531.406494140625,-0,-0
30,27,1.03125,-306.28125,-0,-0
30,28,8.249973297119140625,-1225.122314453125,-0,-0
30,29,23.7187328338623046875,-1531.406494140625,-0,-0
31,28,1.03125,-306.28125,-0,-0
31,29,8.25001239776611328125,-1225.1260986328125,-0,-0
31,30,23.7187786102294921875,-1531.405029296875,-0,-0
32,29,1.0312507152557373046875,-306.281341552734375,-0,-0
32,30,8.25001239776611328125,-1225.1260986328125,-0,-0
32,31,23.7187328338623046875,-1531.406494140625,-0,-0
33,30,1.03125,-306.28125,-0,-0
33,31,8.249973297119140625,-1225.122314453125,-0,-0
33,32,23.7187328338623046875,-1531.406494140625,-0,-0
34,31,1.03125,-306.28125,-0,-0
34,32,8.25001239776611328125,-1225.1260986328125,-0,-0
34,33,23.7187786102294921875,-1531.405029296875,-0,-0
35,32,1.0312507152557373046875,-306.281341552734375,-0,-0
35,33,8.25001239776611328125,-1225.1260986328125,-0,-0
35,34,23.7187328338623046875,-1531.406494140625,-0,-0
36,33,1.03125,-306.28125,-0,-0
36,34,8.249973297119140625,-1225.122314453125,-0,-0
36,35,23.7187328338623046875,-1531.406494140625,-0,-0
37,34,1.03125,-306.28125,-0,-0
37,35,8.25001239776611328125,-1225.1260986328125,-0,-0
37,36,23.7187786102294921875,-1531.405029296875,-0,-0
38,35,1.0312507152557373046875,-306.281341552734375,-0,-0
38,36,8.25001239776611328125,-1225.1260986328125,-0,-0
38,37,23.7187328338623046875,-1531.406494140625,-0,-0
