Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.72      0.53     0.01    18009     0.00     0.00  std::enable_if<std::is_same<void, void>::value, void>::type Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewFill<Kokkos::View<vec3<double>*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::OpenMP, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::OpenMP, 1, int>, Kokkos::RangePolicy<Kokkos::OpenMP, Kokkos::IndexType<int> >, Kokkos::OpenMP>::exec_range<void>(Kokkos::Impl::ViewFill<Kokkos::View<vec3<double>*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::OpenMP, Kokkos::AnonymousSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::OpenMP, 1, int> const&, int, int)
  1.72      0.54     0.01     8025     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > Kokkos::Impl::SharedAllocationTracker::get_label<Kokkos::CudaSpace>() const
  1.72      0.55     0.01     2006     0.00     0.00  int Kokkos::Impl::cuda_deduce_block_size<Kokkos::Impl::cuda_get_opt_block_size<Kokkos::Impl::ViewFill<Kokkos::View<unsigned int*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::Cuda, 1, int>, Kokkos::LaunchBounds<0u, 0u> >(Kokkos::Impl::CudaInternal const*, cudaFuncAttributes const&, Kokkos::Impl::ViewFill<Kokkos::View<unsigned int*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::Cuda, 1, int> const&, unsigned long, unsigned long, unsigned long)::{lambda(int)#1}, Kokkos::LaunchBounds<0u, 0u> >(bool, cudaDeviceProp const&, cudaFuncAttributes const&, Kokkos::Impl::cuda_get_opt_block_size<Kokkos::Impl::ViewFill<Kokkos::View<unsigned int*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::Cuda, 1, int>, Kokkos::LaunchBounds<0u, 0u> >(Kokkos::Impl::CudaInternal const*, cudaFuncAttributes const&, Kokkos::Impl::ViewFill<Kokkos::View<unsigned int*, Kokkos::LayoutRight, Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Kokkos::MemoryTraits<0u> >, Kokkos::LayoutRight, Kokkos::Cuda, 1, int> const&, unsigned long, unsigned long, unsigned long)::{lambda(int)#1}, Kokkos::LaunchBounds<0u, 0u>)
  1.72      0.56     0.01                             desul::Impl::SubOper<double, double const>::apply(double const&, double const&)
  0.86      0.56     0.01  9204600     0.00     0.00  Kokkos::Impl::RuntimeCheckMemoryAccessViolation<Kokkos::AnonymousSpace, Kokkos::OpenMP, true>::RuntimeCheckMemoryAccessViolation(char const*)
  0.86      0.57     0.01   200200     0.00     0.00  vec3<double>::length_squared() const
  0.86      0.57     0.01     2002     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::filesystem::__cxx11::path::string<char, std::char_traits<char>, std::allocator<char> >(std::allocator<char> const&) const
  0.86      0.58     0.01                             cudaError cudaFuncSetCacheConfig<void (Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Particle, false>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<long> >, Kokkos::Cuda>)>(void (*)(Kokkos::Impl::ParallelFor<Kokkos::Impl::ViewValueFunctor<Kokkos::Device<Kokkos::Cuda, Kokkos::CudaSpace>, Particle, false>, Kokkos::RangePolicy<Kokkos::Cuda, Kokkos::IndexType<long> >, Kokkos::Cuda>), cudaFuncCache)
  0.00      0.58     0.00 11355344     0.00     0.00  desul::Impl::host_locks__::get_host_lock_(void*)
  0.00      0.58     0.00  9204600     0.00     0.00  void Kokkos::Impl::runtime_check_memory_access_violation<Kokkos::AnonymousSpace>(char const*)
  0.00      0.58     0.00  7093614     0.00     0.00  double desul::atomic_fetch_add<double, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(double*, double, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  0.00      0.58     0.00  7093614     0.00     0.00  std::enable_if<!desul::Impl::may_exit_early<desul::Impl::AddOper<double, double const>, double, double, bool>::value, bool>::type desul::Impl::check_early_exit<desul::Impl::AddOper<double, double const>, double, double>(desul::Impl::AddOper<double, double const> const&, double const&, double const&)
  0.00      0.58     0.00  7093614     0.00     0.00  desul::Impl::AddOper<double, double const>::apply(double const&, double const&)
  0.00      0.58     0.00  7093614     0.00     0.00  void Kokkos::atomic_add<double>(double*, desul::Impl::dont_deduce_this_parameter<double const>::type)
  0.00      0.58     0.00  6441436     0.00     0.00  unsigned int const& std::forward<unsigned int const&>(std::remove_reference<unsigned int const&>::type&)
  0.00      0.58     0.00  5677672     0.00     0.00  void desul::atomic_thread_fence<desul::MemoryOrderAcquire, desul::MemoryScopeDevice>(desul::MemoryOrderAcquire, desul::MemoryScopeDevice)
  0.00      0.58     0.00  5677672     0.00     0.00  void desul::atomic_thread_fence<desul::MemoryOrderRelease, desul::MemoryScopeDevice>(desul::MemoryOrderRelease, desul::MemoryScopeDevice)
  0.00      0.58     0.00  5677672     0.00     0.00  bool desul::Impl::lock_address<desul::MemoryScopeDevice>(void*, desul::MemoryScopeDevice)
  0.00      0.58     0.00  5677672     0.00     0.00  void desul::Impl::unlock_address<desul::MemoryScopeDevice>(void*, desul::MemoryScopeDevice)
  0.00      0.58     0.00  3239036     0.00     0.00  vec3<double> operator*<double>(vec3<double> const&, double)
  0.00      0.58     0.00  2838836     0.00     0.00  Particle Kokkos::atomic_load<Particle>(Particle*)
  0.00      0.58     0.00  2838836     0.00     0.00  ParticleManagerBase::getParticleAtomic(unsigned int) const
  0.00      0.58     0.00  2129127     0.00     0.00  vec3<double> operator-<double>(vec3<double> const&, vec3<double> const&)
  0.00      0.58     0.00  1601000     0.00     0.00  ParticleManagerBase::getParticle(unsigned int) const
  0.00      0.58     0.00  1419418     0.00     0.00  double SQR<double>(double)
  0.00      0.58     0.00  1419418     0.00     0.00  void desul::atomic_store<Particle, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice>(Particle*, Particle, desul::MemoryOrderRelaxed, desul::MemoryScopeDevice)
  0.00      0.58     0.00  1419418     0.00     0.00  desul::Impl::StoreOper<Particle, Particle const>::apply(Particle const&, Particle const&)
