x1, y1, z1, x2, y2, z2
-0.49373619965888399,-0.5,-0.5,-0.5061837553527021,-0.5,-0.5
-0.48177781618809301,-0.5,-0.5,-0.5061837553527021,-0.5,-0.5
-0.47020891977623885,-0.5,-0.5,-0.5061837553527021,-0.5,-0.5
-0.48177781618809301,-0.5,-0.5,-0.49373619965888399,-0.5,-0.5
-0.47020891977623885,-0.5,-0.5,-0.49373619965888399,-0.5,-0.5
-0.45941455627117744,-0.5,-0.5,-0.49373619965888399,-0.5,-0.5
-0.47020891977623885,-0.5,-0.5,-0.48177781618809301,-0.5,-0.5
-0.45941455627117744,-0.5,-0.5,-0.48177781618809301,-0.5,-0.5
-0.44934258320089143,-0.5,-0.5,-0.48177781618809301,-0.5,-0.5
-0.45941455627117744,-0.5,-0.5,-0.47020891977623885,-0.5,-0.5
-0.44934258320089143,-0.5,-0.5,-0.47020891977623885,-0.5,-0.5
-0.43939123491735432,-0.5,-0.5,-0.47020891977623885,-0.5,-0.5
-0.5061837553527021,-0.5,-0.5,-0.45941455627117744,-0.5,-0.5
-0.44934258320089143,-0.5,-0.5,-0.45941455627117744,-0.5,-0.5
-0.43939123491735432,-0.5,-0.5,-0.45941455627117744,-0.5,-0.5
-0.42931241638700346,-0.5,-0.5,-0.45941455627117744,-0.5,-0.5
-0.41919494469427704,-0.5,-0.5,-0.45941455627117744,-0.5,-0.5
-0.5061837553527021,-0.5,-0.5,-0.44934258320089143,-0.5,-0.5
-0.49373619965888399,-0.5,-0.5,-0.44934258320089143,-0.5,-0.5
-0.43939123491735432,-0.5,-0.5,-0.44934258320089143,-0.5,-0.5
-0.42931241638700346,-0.5,-0.5,-0.44934258320089143,-0.5,-0.5
-0.41919494469427704,-0.5,-0.5,-0.44934258320089143,-0.5,-0.5
-0.40908802579726661,-0.5,-0.5,-0.44934258320089143,-0.5,-0.5
-0.5061837553527021,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.49373619965888399,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.48177781618809301,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.42931241638700346,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.41919494469427704,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.40908802579726661,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.3989889791573864,-0.5,-0.5,-0.43939123491735432,-0.5,-0.5
-0.5061837553527021,-0.5,-0.5,-0.42931241638700346,-0.5,-0.5
-0.47020891977623885,-0.5,-0.5,-0.42931241638700346,-0.5,-0.5
-0.41919494469427704,-0.5,-0.5,-0.42931241638700346,-0.5,-0.5
-0.40908802579726661,-0.5,-0.5,-0.42931241638700346,-0.5,-0.5
-0.3989889791573864,-0.5,-0.5,-0.42931241638700346,-0.5,-0.5
-0.17676767676770605,-0.5,-0.5,-0.20707070707025252,-0.5,-0.5
-0.16666666666665922,-0.5,-0.5,-0.20707070707025252,-0.5,-0.5
-0.17676767676770605,-0.5,-0.5,-0.19696969696967126,-0.5,-0.5
-0.16666666666665922,-0.5,-0.5,-0.19696969696967126,-0.5,-0.5
-0.15656565656564844,-0.5,-0.5,-0.19696969696967126,-0.5,-0.5
-0.5061837553527021,-0.5,-0.5,-0.41919494469427704,-0.5,-0.5
-0.40908802579726661,-0.5,-0.5,-0.41919494469427704,-0.5,-0.5
-0.3989889791573864,-0.5,-0.5,-0.41919494469427704,-0.5,-0.5
-0.3888892908906495,-0.5,-0.5,-0.41919494469427704,-0.5,-0.5
-0.3989889791573864,-0.5,-0.5,-0.40908802579726661,-0.5,-0.5
-0.3888892908906495,-0.5,-0.5,-0.40908802579726661,-0.5,-0.5
-0.37878812180698679,-0.5,-0.5,-0.40908802579726661,-0.5,-0.5
-0.36868682698587102,-0.5,-0.5,-0.40908802579726661,-0.5,-0.5
-0.17676767676770605,-0.5,-0.5,-0.18686868686876981,-0.5,-0.5
-0.16666666666665922,-0.5,-0.5,-0.18686868686876981,-0.5,-0.5
-0.15656565656564844,-0.5,-0.5,-0.18686868686876981,-0.5,-0.5
-0.3888892908906495,-0.5,-0.5,-0.3989889791573864,-0.5,-0.5
-0.37878812180698679,-0.5,-0.5,-0.3989889791573864,-0.5,-0.5
-0.36868682698587102,-0.5,-0.5,-0.3989889791573864,-0.5,-0.5
-0.35858579838396132,-0.5,-0.5,-0.3989889791573864,-0.5,-0.5
-0.16666666666665922,-0.5,-0.5,-0.17676767676770605,-0.5,-0.5
-0.15656565656564844,-0.5,-0.5,-0.17676767676770605,-0.5,-0.5
-0.1464646464646468,-0.5,-0.5,-0.17676767676770605,-0.5,-0.5
-0.15656565656564844,-0.5,-0.5,-0.16666666666665922,-0.5,-0.5
-0.1464646464646468,-0.5,-0.5,-0.16666666666665922,-0.5,-0.5
-0.13636363636363746,-0.5,-0.5,-0.16666666666665922,-0.5,-0.5
-0.37878812180698679,-0.5,-0.5,-0.3888892908906495,-0.5,-0.5
-0.36868682698587102,-0.5,-0.5,-0.3888892908906495,-0.5,-0.5
-0.35858579838396132,-0.5,-0.5,-0.3888892908906495,-0.5,-0.5
-0.1464646464646468,-0.5,-0.5,-0.15656565656564844,-0.5,-0.5
-0.13636363636363746,-0.5,-0.5,-0.15656565656564844,-0.5,-0.5
-0.12626262626262624,-0.5,-0.5,-0.15656565656564844,-0.5,-0.5
-0.11616161616161619,-0.5,-0.5,-0.15656565656564844,-0.5,-0.5
-0.41919494469427704,-0.5,-0.5,-0.37878812180698679,-0.5,-0.5
-0.36868682698587102,-0.5,-0.5,-0.37878812180698679,-0.5,-0.5
-0.35858579838396132,-0.5,-0.5,-0.37878812180698679,-0.5,-0.5
-0.3484848442661731,-0.5,-0.5,-0.37878812180698679,-0.5,-0.5
0.14646464646464685,-0.5,-0.5,0.10606060606060608,-0.5,-0.5
0.14646464646464685,-0.5,-0.5,0.11616161616161613,-0.5,-0.5
0.1565656565656485,-0.5,-0.5,0.11616161616161613,-0.5,-0.5
-0.35858579838396132,-0.5,-0.5,-0.36868682698587102,-0.5,-0.5
-0.3484848442661731,-0.5,-0.5,-0.36868682698587102,-0.5,-0.5
-0.33838385045380082,-0.5,-0.5,-0.36868682698587102,-0.5,-0.5
-0.13636363636363746,-0.5,-0.5,-0.1464646464646468,-0.5,-0.5
-0.12626262626262624,-0.5,-0.5,-0.1464646464646468,-0.5,-0.5
-0.11616161616161619,-0.5,-0.5,-0.1464646464646468,-0.5,-0.5
-0.10606060606060608,-0.5,-0.5,-0.1464646464646468,-0.5,-0.5
0.14646464646464685,-0.5,-0.5,0.1262626262626263,-0.5,-0.5
0.1565656565656485,-0.5,-0.5,0.1262626262626263,-0.5,-0.5
0.16666666666665916,-0.5,-0.5,0.1262626262626263,-0.5,-0.5
-0.3484848442661731,-0.5,-0.5,-0.35858579838396132,-0.5,-0.5
-0.33838385045380082,-0.5,-0.5,-0.35858579838396132,-0.5,-0.5
-0.32828283221573723,-0.5,-0.5,-0.35858579838396132,-0.5,-0.5
-0.31818181661600309,-0.5,-0.5,-0.35858579838396132,-0.5,-0.5
-0.12626262626262624,-0.5,-0.5,-0.13636363636363746,-0.5,-0.5
-0.11616161616161619,-0.5,-0.5,-0.13636363636363746,-0.5,-0.5
-0.10606060606060608,-0.5,-0.5,-0.13636363636363746,-0.5,-0.5
-0.33838385045380082,-0.5,-0.5,-0.3484848442661731,-0.5,-0.5
-0.32828283221573723,-0.5,-0.5,-0.3484848442661731,-0.5,-0.5
-0.31818181661600309,-0.5,-0.5,-0.3484848442661731,-0.5,-0.5
-0.3080808068238009,-0.5,-0.5,-0.3484848442661731,-0.5,-0.5
-0.16666666666665922,-0.5,-0.5,-0.12626262626262624,-0.5,-0.5
-0.11616161616161619,-0.5,-0.5,-0.12626262626262624,-0.5,-0.5
-0.10606060606060608,-0.5,-0.5,-0.12626262626262624,-0.5,-0.5
-0.095959595959595967,-0.5,-0.5,-0.12626262626262624,-0.5,-0.5
0.14646464646464685,-0.5,-0.5,0.13636363636363744,-0.5,-0.5
0.1565656565656485,-0.5,-0.5,0.13636363636363744,-0.5,-0.5
0.16666666666665916,-0.5,-0.5,0.13636363636363744,-0.5,-0.5
0.50618375535270199,-0.5,-0.5,0.41919494469427704,-0.5,-0.5
