pid1, pid2, w, dwdx_x, dwdx_y, dwdx_z
4,3,0.880910456180572509765625,-0.112139098346233367919921875,-0,-0
5,4,10.778079986572265625,-168.4211273193359375,-0,-0
6,4,7.5085430145263671875,-287.636871337890625,-0,-0
6,5,15.18085002899169921875,-571.5350341796875,-0,-0
7,5,6.97007465362548828125,-593.13201904296875,-0,-0
7,6,18.62364959716796875,-953.8604736328125,-0,-0
8,5,1.78264987468719482421875,-256.32232666015625,-0,-0
8,6,6.98018360137939453125,-839.02716064453125,-0,-0
8,7,20.72093963623046875,-1144.675537109375,-0,-0
9,6,1.06206047534942626953125,-244.371063232421875,-0,-0
9,7,7.539826869964599609375,-974.5458984375,-0,-0
9,8,21.6243877410888671875,-1302.1171875,-0,-0
10,7,1.0695323944091796875,-270.29046630859375,-0,-0
10,8,7.524786472320556640625,-1051.13525390625,-0,-0
10,9,22.4722728729248046875,-1386.451171875,-0,-0
11,8,0.9828250408172607421875,-274.380584716796875,-0,-0
11,9,8.00252056121826171875,-1137.97021484375,-0,-0
11,10,23.2465000152587890625,-1453.8297119140625,-0,-0
12,9,1.07351171970367431640625,-300.246063232421875,-0,-0
12,10,8.2822818756103515625,-1196.61083984375,-0,-0
12,11,23.56444549560546875,-1503.864990234375,-0,-0
13,10,1.0962431430816650390625,-311.336090087890625,-0,-0
13,11,8.24444103240966796875,-1212.6790771484375,-0,-0
13,12,23.629116058349609375,-1526.732177734375,-0,-0
14,11,1.05465829372406005859375,-307.960174560546875,-0,-0
14,12,8.2071361541748046875,-1217.8360595703125,-0,-0
14,13,23.69351959228515625,-1529.61865234375,-0,-0
15,12,1.02727687358856201171875,-304.81695556640625,-0,-0
15,13,8.24549579620361328125,-1223.8798828125,-0,-0
15,14,23.72000885009765625,-1530.138671875,-0,-0
16,13,1.0313737392425537109375,-306.144256591796875,-0,-0
16,14,8.256511688232421875,-1225.425537109375,-0,-0
16,15,23.718753814697265625,-1531.393310546875,-0,-0
17,14,1.03391540050506591796875,-306.714263916015625,-0,-0
17,15,8.250408172607421875,-1225.1259765625,-0,-0
17,16,23.719310760498046875,-1531.6640625,-0,-0
18,14,2.1204675793029537089751102030277252197265625e-09,-0.000495089101605117321014404296875,-0,-0
18,15,1.03166103363037109375,-306.34228515625,-0,-0
18,16,8.24924564361572265625,-1225.12255859375,-0,-0
18,17,23.7189273834228515625,-1531.4925537109375,-0,-0
19,16,1.03090608119964599609375,-306.229705810546875,-0,-0
19,17,8.24965190887451171875,-1225.12255859375,-0,-0
19,18,23.7186832427978515625,-1531.38427734375,-0,-0
20,17,1.03105652332305908203125,-306.25250244140625,-0,-0
20,18,8.2500514984130859375,-1225.1260986328125,-0,-0
20,19,23.718730926513671875,-1531.3831787109375,-0,-0
21,18,1.03125464916229248046875,-306.281951904296875,-0,-0
21,19,8.25007915496826171875,-1225.1260986328125,-0,-0
21,20,23.7187290191650390625,-1531.4051513671875,-0,-0
22,19,1.03129565715789794921875,-306.288482666015625,-0,-0
22,20,8.25002288818359375,-1225.126220703125,-0,-0
22,21,23.7187900543212890625,-1531.4093017578125,-0,-0
23,20,1.0312597751617431640625,-306.282684326171875,-0,-0
23,21,8.24999904632568359375,-1225.1259765625,-0,-0
23,22,23.718738555908203125,-1531.408447265625,-0,-0
24,21,1.0312440395355224609375,-306.28033447265625,-0,-0
24,22,8.24997043609619140625,-1225.12255859375,-0,-0
24,23,23.7187328338623046875,-1531.40625,-0,-0
25,22,1.03124606609344482421875,-306.280670166015625,-0,-0
25,23,8.25001239776611328125,-1225.1260986328125,-0,-0
25,24,23.7187786102294921875,-1531.40478515625,-0,-0
26,23,1.0312507152557373046875,-306.281341552734375,-0,-0
26,24,8.2500152587890625,-1225.1260986328125,-0,-0
26,25,23.7187328338623046875,-1531.406494140625,-0,-0
27,24,1.0312507152557373046875,-306.281341552734375,-0,-0
27,25,8.249973297119140625,-1225.122314453125,-0,-0
27,26,23.7187328338623046875,-1531.406494140625,-0,-0
