pid1, pid2, w, dwdx_x, dwdx_y, dwdx_z
1,0,11.93349361419677734375,-189.517120361328125,-0,-0
2,0,8.81005859375,-331.197906494140625,-0,-0
2,1,17.00754547119140625,-654.05938720703125,-0,-0
3,1,7.59517002105712890625,-694.33282470703125,-0,-0
3,2,19.1079883575439453125,-1075.74658203125,-0,-0
4,1,1.70803248882293701171875,-278.35626220703125,-0,-0
4,2,6.466660022735595703125,-863.8743896484375,-0,-0
4,3,21.3398914337158203125,-1288.3172607421875,-0,-0
5,2,0.963699400424957275390625,-249.1271209716796875,-0,-0
5,3,8.122531890869140625,-1102.1527099609375,-0,-0
5,4,23.74224853515625,-1450.8209228515625,-0,-0
6,3,1.28608882427215576171875,-325.11029052734375,-0,-0
6,4,8.78350162506103515625,-1248.995361328125,-0,-0
6,5,23.930149078369140625,-1550.7291259765625,-0,-0
7,4,1.26370894908905029296875,-341.835968017578125,-0,-0
7,5,8.2949123382568359375,-1233.5848388671875,-0,-0
7,6,23.73394775390625,-1561.8314208984375,-0,-0
8,4,0.0011221249587833881378173828125,-3.1476004123687744140625,-0,-0
8,5,1.046494007110595703125,-309.258331298828125,-0,-0
8,6,8.1001300811767578125,-1218.618896484375,-0,-0
8,7,23.6909427642822265625,-1535.4884033203125,-0,-0
9,5,1.12087690240514348261058330535888671875e-07,-0.0069779134355485439300537109375,-0,-0
9,6,0.973820507526397705078125,-296.97296142578125,-0,-0
9,7,8.2184047698974609375,-1223.7471923828125,-0,-0
9,8,23.7232189178466796875,-1525.4163818359375,-0,-0
10,7,1.01459300518035888671875,-303.653778076171875,-0,-0
10,8,8.279689788818359375,-1226.6622314453125,-0,-0
10,9,23.7174835205078125,-1529.371337890625,-0,-0
11,8,1.0410478115081787109375,-307.896453857421875,-0,-0
11,9,8.2575225830078125,-1225.12451171875,-0,-0
11,10,23.7169551849365234375,-1532.075439453125,-0,-0
12,8,9.838709758014374529011547565460205078125e-08,-0.00638747774064540863037109375,-0,-0
12,9,1.03577423095703125,-306.95208740234375,-0,-0
12,10,8.2466278076171875,-1224.8839111328125,-0,-0
12,11,23.7197475433349609375,-1531.85791015625,-0,-0
13,10,1.03042697906494140625,-306.12872314453125,-0,-0
13,11,8.248462677001953125,-1225.122314453125,-0,-0
13,12,23.71872711181640625,-1531.40283203125,-0,-0
14,11,1.03042542934417724609375,-306.15875244140625,-0,-0
14,12,8.24989223480224609375,-1225.126220703125,-0,-0
14,13,23.7185821533203125,-1531.3172607421875,-0,-0
15,12,1.03111946582794189453125,-306.2618408203125,-0,-0
15,13,8.2502651214599609375,-1225.1260986328125,-0,-0
15,14,23.718677520751953125,-1531.38134765625,-0,-0
16,13,1.03137814998626708984375,-306.30072021484375,-0,-0
16,14,8.25010967254638671875,-1225.1259765625,-0,-0
16,15,23.718799591064453125,-1531.413818359375,-0,-0
17,14,1.0313122272491455078125,-306.290496826171875,-0,-0
17,15,8.2499980926513671875,-1225.126220703125,-0,-0
17,16,23.71875,-1531.413330078125,-0,-0
18,15,1.03124797344207763671875,-306.280914306640625,-0,-0
18,16,8.2499561309814453125,-1225.1224365234375,-0,-0
18,17,23.7187290191650390625,-1531.4051513671875,-0,-0
19,16,1.03122866153717041015625,-306.277618408203125,-0,-0
19,17,8.24997615814208984375,-1225.1224365234375,-0,-0
19,18,23.71872711181640625,-1531.4039306640625,-0,-0
20,17,1.031246662139892578125,-306.28076171875,-0,-0
20,18,8.2500152587890625,-1225.1258544921875,-0,-0
20,19,23.718780517578125,-1531.405517578125,-0,-0
21,18,1.0312519073486328125,-306.281494140625,-0,-0
21,19,8.2500095367431640625,-1225.1260986328125,-0,-0
21,20,23.718738555908203125,-1531.408447265625,-0,-0
22,19,1.03126013278961181640625,-306.283203125,-0,-0
22,20,8.25000667572021484375,-1225.1259765625,-0,-0
