pid1, pid2, w, dwdx_x, dwdx_y, dwdx_z
1,0,11.65668582916259765625,-181.7200164794921875,-0,-0
2,0,8.60533237457275390625,-317.103485107421875,-0,-0
2,1,16.6772937774658203125,-629.3369140625,-0,-0
3,1,7.449120044708251953125,-670.58526611328125,-0,-0
3,2,18.814727783203125,-1045.5455322265625,-0,-0
4,1,1.67934691905975341796875,-269.852386474609375,-0,-0
4,2,6.378094196319580078125,-842.42657470703125,-0,-0
4,3,21.1573848724365234375,-1267.690185546875,-0,-0
5,2,0.96468293666839599609375,-245.8125152587890625,-0,-0
5,3,8.1007442474365234375,-1090.3018798828125,-0,-0
5,4,23.693149566650390625,-1439.8343505859375,-0,-0
6,3,1.29982662200927734375,-324.78936767578125,-0,-0
6,4,8.7980556488037109375,-1245.4671630859375,-0,-0
6,5,23.9051036834716796875,-1548.0279541015625,-0,-0
7,4,1.2767198085784912109375,-342.9715576171875,-0,-0
7,5,8.28495121002197265625,-1231.244873046875,-0,-0
7,6,23.720165252685546875,-1561.645263671875,-0,-0
8,4,0.001361470785923302173614501953125,-3.5683491230010986328125,-0,-0
8,5,1.047029018402099609375,-309.0478515625,-0,-0
8,6,8.092807769775390625,-1217.6878662109375,-0,-0
8,7,23.691070556640625,-1535.34326171875,-0,-0
9,5,2.270291048489525564946234226226806640625e-07,-0.011159750632941722869873046875,-0,-0
9,6,0.9728972911834716796875,-296.753570556640625,-0,-0
9,7,8.22155284881591796875,-1224.0694580078125,-0,-0
9,8,23.7273693084716796875,-1525.4959716796875,-0,-0
10,7,1.01572787761688232421875,-303.872772216796875,-0,-0
10,8,8.28272914886474609375,-1227.0218505859375,-0,-0
10,9,23.719043731689453125,-1529.6221923828125,-0,-0
11,8,1.0417430400848388671875,-308.035400390625,-0,-0
11,9,8.256771087646484375,-1225.1248779296875,-0,-0
11,10,23.7162189483642578125,-1532.191162109375,-0,-0
12,8,1.14378991611374658532440662384033203125e-07,-0.0070621161721646785736083984375,-0,-0
12,9,1.0354363918304443359375,-306.90203857421875,-0,-0
12,10,8.2456188201904296875,-1224.8115234375,-0,-0
12,11,23.719615936279296875,-1531.8001708984375,-0,-0
13,10,1.03004169464111328125,-306.062469482421875,-0,-0
13,11,8.24859523773193359375,-1225.12255859375,-0,-0
13,12,23.71862030029296875,-1531.3565673828125,-0,-0
14,11,1.03046000003814697265625,-306.16387939453125,-0,-0
14,12,8.25003719329833984375,-1225.126220703125,-0,-0
14,13,23.71857452392578125,-1531.3133544921875,-0,-0
15,12,1.03119754791259765625,-306.273468017578125,-0,-0
15,13,8.25029277801513671875,-1225.126220703125,-0,-0
15,14,23.7186946868896484375,-1531.388916015625,-0,-0
16,13,1.03139781951904296875,-306.303619384765625,-0,-0
16,14,8.25009059906005859375,-1225.1259765625,-0,-0
16,15,23.718807220458984375,-1531.4168701171875,-0,-0
17,14,1.03130304813385009765625,-306.28912353515625,-0,-0
17,15,8.24998569488525390625,-1225.126220703125,-0,-0
17,16,23.71875,-1531.4132080078125,-0,-0
18,15,1.03124141693115234375,-306.27996826171875,-0,-0
18,16,8.249958038330078125,-1225.12255859375,-0,-0
18,17,23.7187290191650390625,-1531.404541015625,-0,-0
19,16,1.03122866153717041015625,-306.277618408203125,-0,-0
19,17,8.24997806549072265625,-1225.12255859375,-0,-0
19,18,23.71872711181640625,-1531.4036865234375,-0,-0
20,17,1.0312473773956298828125,-306.280853271484375,-0,-0
20,18,8.2500171661376953125,-1225.126220703125,-0,-0
20,19,23.718780517578125,-1531.405517578125,-0,-0
21,18,1.0312519073486328125,-306.281494140625,-0,-0
21,19,8.2500095367431640625,-1225.1260986328125,-0,-0
21,20,23.718738555908203125,-1531.408447265625,-0,-0
22,19,1.03126013278961181640625,-306.283203125,-0,-0
22,20,8.25000667572021484375,-1225.1259765625,-0,-0
22,21,23.7187824249267578125,-1531.4061279296875,-0,-0
23,20,1.031248569488525390625,-306.281005859375,-0,-0
23,21,8.2500095367431640625,-1225.1260986328125,-0,-0
23,22,23.7187328338623046875,-1531.406494140625,-0,-0
24,21,1.0312473773956298828125,-306.280853271484375,-0,-0
24,22,8.249973297119140625,-1225.122314453125,-0,-0
24,23,23.7187328338623046875,-1531.406494140625,-0,-0
25,22,1.03125,-306.28125,-0,-0
25,23,8.25001239776611328125,-1225.1260986328125,-0,-0
25,24,23.7187786102294921875,-1531.405029296875,-0,-0
26,23,1.03125131130218505859375,-306.28143310546875,-0,-0
26,24,8.25001239776611328125,-1225.1260986328125,-0,-0
26,25,23.7187328338623046875,-1531.406494140625,-0,-0
27,24,1.03125,-306.28125,-0,-0
27,25,8.249973297119140625,-1225.122314453125,-0,-0
27,26,23.7187328338623046875,-1531.406494140625,-0,-0
28,25,1.03125,-306.28125,-0,-0
28,26,8.25001239776611328125,-1225.1260986328125,-0,-0
28,27,23.7187786102294921875,-1531.405029296875,-0,-0
29,26,1.0312507152557373046875,-306.281341552734375,-0,-0
29,27,8.25001239776611328125,-1225.1260986328125,-0,-0
29,28,23.7187328338623046875,-1531.406494140625,-0,-0
30,27,1.03125,-306.28125,-0,-0
30,28,8.249973297119140625,-1225.122314453125,-0,-0
30,29,23.7187328338623046875,-1531.406494140625,-0,-0
31,28,1.03125,-306.28125,-0,-0
31,29,8.25001239776611328125,-1225.1260986328125,-0,-0
31,30,23.7187786102294921875,-1531.405029296875,-0,-0
32,29,1.0312507152557373046875,-306.281341552734375,-0,-0
32,30,8.25001239776611328125,-1225.1260986328125,-0,-0
32,31,23.7187328338623046875,-1531.406494140625,-0,-0
