pid1, pid2, w, dwdx_x, dwdx_y, dwdx_z
2,1,0.92836606502532958984375,-0.1218652427196502685546875,-0,-0
3,2,10.54392528533935546875,-180.154754638671875,-0,-0
4,2,7.319302082061767578125,-287.894378662109375,-0,-0
4,3,16.049343109130859375,-632.09527587890625,-0,-0
5,3,7.8602447509765625,-672.90008544921875,-0,-0
5,4,20.247577667236328125,-1032.766845703125,-0,-0
6,3,1.992797374725341796875,-292.56817626953125,-0,-0
6,4,7.470533847808837890625,-933.07025146484375,-0,-0
6,5,21.0162944793701171875,-1258.3878173828125,-0,-0
7,4,1.12158000469207763671875,-268.818450927734375,-0,-0
7,5,7.2978973388671875,-1002.9718017578125,-0,-0
7,6,22.2628154754638671875,-1390.4833984375,-0,-0
8,5,1.0029079914093017578125,-271.559722900390625,-0,-0
8,6,7.904615879058837890625,-1130.66796875,-0,-0
8,7,23.3701019287109375,-1453.9593505859375,-0,-0
9,6,1.060101032257080078125,-298.365509033203125,-0,-0
9,7,8.4299564361572265625,-1212.8521728515625,-0,-0
9,8,23.69852447509765625,-1514.3409423828125,-0,-0
10,7,1.14243900775909423828125,-320.2275390625,-0,-0
10,8,8.29721546173095703125,-1222.47265625,-0,-0
10,9,23.6779804229736328125,-1537.4141845703125,-0,-0
11,8,1.062885761260986328125,-310.356170654296875,-0,-0
11,9,8.18500423431396484375,-1219.244140625,-0,-0
11,10,23.69722747802734375,-1533.7723388671875,-0,-0
12,9,1.01603758335113525390625,-303.425048828125,-0,-0
12,10,8.23473262786865234375,-1224.3262939453125,-0,-0
12,11,23.73065948486328125,-1529.663330078125,-0,-0
13,10,1.024209499359130859375,-305.133819580078125,-0,-0
13,11,8.2640094757080078125,-1226.273681640625,-0,-0
13,12,23.718021392822265625,-1531.08935546875,-0,-0
14,11,1.03535664081573486328125,-307.03472900390625,-0,-0
14,12,8.2514362335205078125,-1225.1260986328125,-0,-0
14,13,23.7194957733154296875,-1531.7239990234375,-0,-0
15,11,4.815536858160385236260481178760528564453125e-09,-0.0008554638479836285114288330078125,-0,-0
15,12,1.03228151798248291015625,-306.43438720703125,-0,-0
15,13,8.24921703338623046875,-1225.1260986328125,-0,-0
15,14,23.7191333770751953125,-1531.583984375,-0,-0
