x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
-0.50775618340720663, -0.5, -0.5, -0.76821541859666576, 0, 0, 0.010101010101010102, 0.43535215197868182, 0.39593296720866811, 2.2731697148907135, 0.95365323104657529, 0.046403859749404544
-0.49472434611270372, -0.5, -0.5, -0.48379688832505136, 0, 0, 0.010101010101010102, 0.64979540821290538, 0.5960233196563306, 2.292690178684968, 0.95773047516987642, 0.031089816804924258
-0.48231051594468838, -0.5, -0.5, -0.26281538899865126, 0, 0, 0.010101010101010102, 0.85196142095441063, 0.79174821481914681, 2.3229397317033453, 0.96401453443264873, 0.023712365026328154
-0.47038703421339312, -0.5, -0.5, -0.091338832011363016, 0, 0, 0.010101010101010102, 0.94992240811881001, 0.90360286655557553, 2.3778335369862322, 0.97531461857641455, 0.021267021421283779
-0.45941859930761197, -0.5, -0.5, -0.0065447298318007186, 0, 0, 0.010101010101010102, 0.98234325306113268, 0.9639561648619942, 2.4530892735410657, 0.99059700192943367, 0.02056513356107206
-0.44933048495089767, -0.5, -0.5, 0.003377912257064668, 0, 0, 0.010101010101010102, 0.99943948689498063, 0.99996859037099406, 2.5013029257377872, 1.0002646650820821, 0.020213350049619359
-0.4393931877654727, -0.5, -0.5, -0.0013324625277483452, 0, 0, 0.010101010101010102, 1.0082336313953872, 1.0112216493281041, 2.5074093073245329, 1.0014807120489071, 0.020037042579169641
-0.4293119788072719, -0.5, -0.5, 0.00061702512434364388, 0, 0, 0.010101010101010102, 1.0045981490343945, 1.0050659746023709, 2.5011622170261325, 1.0002328150397004, 0.020109553478112715
-0.41919262476889346, -0.5, -0.5, 0.0013782100769181523, 0, 0, 0.010101010101010102, 0.99960019097444253, 0.99931422619786092, 2.4992849142662923, 0.9998569501915715, 0.020210100382560575
-0.40908730022279272, -0.5, -0.5, 0.00035580236172316938, 0, 0, 0.010101010101010102, 0.99878960544948281, 0.99872615491351202, 2.4998427399606444, 0.99996823578090477, 0.020226502250119772
-0.39898942545507604, -0.5, -0.5, -0.00026514116951680331, 0, 0, 0.010101010101010102, 0.99975355736538885, 0.99980935582394892, 2.5001402161742767, 1.0000279057171699, 0.020207000068354637
-0.38888961659563714, -0.5, -0.5, -0.00017135374170540804, 0, 0, 0.010101010101010102, 1.0001983076291097, 1.0002170319547059, 2.5000466219834783, 1.0000093602627707, 0.020198014781596142
-0.37878810941163676, -0.5, -0.5, 1.2522621653927267e-05, 0, 0, 0.010101010101010102, 1.0001008161347227, 1.0000907124160514, 2.4999745152204085, 0.99999494863716376, 0.02019998371774032
-0.36868674631878523, -0.5, -0.5, 4.3324817620771211e-05, 0, 0, 0.010101010101010102, 0.99998189158851691, 0.9999758056200222, 2.4999847583283912, 0.99999695695601798, 0.020202386035139467
-0.35858577740655861, -0.5, -0.5, 9.7707902090718166e-06, 0, 0, 0.010101010101010102, 0.99997500950285501, 0.99997613185937162, 2.5000028505184479, 1.0000005611921252, 0.020202525073165365
-0.3484848558724124, -0.5, -0.5, -6.5808567862553835e-06, 0, 0, 0.010101010101010102, 0.99999843128647026, 1.0000001110063519, 2.5000042182635638, 1.0000008398609057, 0.020202051893252339
-0.33838385829560108, -0.5, -0.5, -3.9136547739688461e-06, 0, 0, 0.010101010101010102, 1.0000050083195977, 1.0000051787443311, 2.5000004219049097, 1.0000000852119364, 0.020201919024353244
-0.328282831993229, -0.5, -0.5, 2.9373418609046562e-07, 0, 0, 0.010101010101010102, 1.0000014237235038, 1.0000010944877273, 2.4999991717328331, 0.99999983538233261, 0.020201991439970167
-0.3181818149196628, -0.5, -0.5, 8.8847473857367815e-07, 0, 0, 0.010101010101010102, 0.99999920781686802, 0.99999908152863259, 2.4999996837072009, 0.99999993685583033, 0.020202036205732517
-0.30808080639589497, -0.5, -0.5, 1.8012669624301652e-07, 0, 0, 0.010101010101010102, 0.99999949792768028, 0.99999953404908604, 2.5000000912145763, 1.0000000180607118, 0.020202030344900441
-0.29797979819449771, -0.5, -0.5, -1.3267374583477825e-07, 0, 0, 0.010101010101010102, 1.0000000590952809, 1.0000000959295987, 2.5000000924500196, 1.0000000184171576, 0.020202019008176215
-0.28787878828792934, -0.5, -0.5, -7.1937731898959887e-08, 0, 0, 0.010101010101010102, 1.0000001290283056, 1.0000001317619889, 2.5000000067467942, 1.0000000013668413, 0.020202017595388103
-0.27777777784837276, -0.5, -0.5, 7.7822125232675134e-09, 0, 0, 0.010101010101010102, 1.0000000198137684, 1.0000000129399234, 2.4999999827181609, 0.99999999656307748, 0.020202019801742063
-0.26767676761315934, -0.5, -0.5, 1.6626054785026959e-08, 0, 0, 0.010101010101010102, 0.99999997591477174, 0.99999997341532165, 2.499999993743224, 0.9999999987502749, 0.020202020688590484
-0.257575757543549, -0.5, -0.5, 2.8211700278987325e-09, 0, 0, 0.010101010101010102, 0.99999998895302555, 0.99999998965030612, 2.5000000017607209, 1.0000000003486402, 0.020202020425191407
-0.24747474747849657, -0.5, -0.5, -2.6252156603736799e-09, 0, 0, 0.010101010101010102, 1.0000000023571287, 1.0000000030610059, 2.5000000017659834, 1.0000000003519385, 0.020202020154401441
-0.23737373738125683, -0.5, -0.5, -1.2696247961881998e-09, 0, 0, 0.010101010101010102, 1.0000000031386325, 1.0000000031970275, 2.5000000001441012, 1.0000000000291975, 0.020202020138613486
-0.22727272727409817, -0.5, -0.5, 1.9637682634810142e-10, 0, 0, 0.010101010101010102, 1.0000000003735647, 1.000000000248801, 2.4999999996863123, 0.99999999993761812, 0.020202020194473442
