pid, x, y, z, vx, vy, vz, mass, rho, pressure, internal energy, sound speed, hsml
0,-0.521934211254119873046875, -0.5, -0.5, -1.36651217937469482421875, 0, 0, 0.010101010091602802276611328125, 0.2504608929157257080078125, 0.19778306782245635986328125, 1.973636627197265625, 0.88863742351531982421875, 0.080659382045269012451171875
1,-0.50290620326995849609375, -0.5, -0.5, -0.801686584949493408203125, 0, 0, 0.010101010091602802276611328125, 0.4573185741901397705078125, 0.3736182749271392822265625, 2.041961669921875, 0.903867185115814208984375, 0.0441749393939971923828125
2,-0.48682487010955810546875, -0.5, -0.5, -0.456405162811279296875, 0, 0, 0.010101010091602802276611328125, 0.67846882343292236328125, 0.574513137340545654296875, 2.116554737091064453125, 0.92020595073699951171875, 0.02977590076625347137451171875
3,-0.472241461277008056640625, -0.5, -0.5, -0.23085154592990875244140625, 0, 0, 0.010101010091602802276611328125, 0.791441500186920166015625, 0.708486735820770263671875, 2.2376887798309326171875, 0.94614231586456298828125, 0.02552560158073902130126953125
4,-0.4599790871143341064453125, -0.5, -0.5, -0.112404398620128631591796875, 0, 0, 0.010101010091602802276611328125, 0.8905966281890869140625, 0.851649820804595947265625, 2.3904993534088134765625, 0.9778900146484375, 0.02268369309604167938232421875
5,-0.4497489631175994873046875, -0.5, -0.5, -0.0621495582163333892822265625, 0, 0, 0.010101010091602802276611328125, 0.97461974620819091796875, 0.96431243419647216796875, 2.4734399318695068359375, 0.994698047637939453125, 0.020728103816509246826171875
6,-0.439517676830291748046875, -0.5, -0.5, -0.0165131799876689910888671875, 0, 0, 0.010101010091602802276611328125, 1.0026409626007080078125, 0.997229397296905517578125, 2.48642826080322265625, 0.997297704219818115234375, 0.02014880813658237457275390625
7,-0.4292713701725006103515625, -0.5, -0.5, 0.00395458005368709564208984375, 0, 0, 0.010101010091602802276611328125, 1.0008413791656494140625, 0.99793112277984619140625, 2.4927027225494384765625, 0.99854505062103271484375, 0.02018503658473491668701171875
8,-0.419156968593597412109375, -0.5, -0.5, 0.00284252804704010486602783203125, 0, 0, 0.010101010091602802276611328125, 0.9988057613372802734375, 0.99876034259796142578125, 2.4998874664306640625, 0.999977290630340576171875, 0.02022617496550083160400390625
9,-0.4090929329395294189453125, -0.5, -0.5, -0.0005439448286779224872589111328125, 0, 0, 0.010101010091602802276611328125, 1.00039827823638916015625, 1.00099933147430419921875, 2.5015056133270263671875, 1.00030028820037841796875, 0.02019397728145122528076171875
10,-0.3989970684051513671875, -0.5, -0.5, -0.00063002272509038448333740234375, 0, 0, 0.010101010091602802276611328125, 1.00067901611328125, 1.000820159912109375, 2.5003528594970703125, 1.0000705718994140625, 0.02018831111490726470947265625
11,-0.388888895511627197265625, -0.5, -0.5, 8.11114659882150590419769287109375e-06, 0, 0, 0.010101010091602802276611328125, 1.000019550323486328125, 0.99993002414703369140625, 2.4997756481170654296875, 0.999955236911773681640625, 0.02020162530243396759033203125
12,-0.37878787517547607421875, -0.5, -0.5, 0.000105299332062713801860809326171875, 0, 0, 0.010101010091602802276611328125, 0.99979507923126220703125, 0.999738752841949462890625, 2.499859333038330078125, 0.999971807003021240234375, 0.020206160843372344970703125
13,-0.368686854839324951171875, -0.5, -0.5, 9.271234375773929059505462646484375e-06, 0, 0, 0.010101010091602802276611328125, 0.99992644786834716796875, 0.999926388263702392578125, 2.5, 0.999999940395355224609375, 0.02020350657403469085693359375
14,-0.3585858643054962158203125, -0.5, -0.5, -1.790397800505161285400390625e-05, 0, 0, 0.010101010091602802276611328125, 1.000016689300537109375, 1.00001657009124755859375, 2.5, 0.999999940395355224609375, 0.02020168304443359375
15,-0.3484848439693450927734375, -0.5, -0.5, -9.123412382905371487140655517578125e-06, 0, 0, 0.010101010091602802276611328125, 1.0000193119049072265625, 1.00001919269561767578125, 2.5, 0.999999940395355224609375, 0.020201630890369415283203125
16,-0.338383853435516357421875, -0.5, -0.5, 1.2895580994154443033039569854736328125e-06, 0, 0, 0.010101010091602802276611328125, 1.0000030994415283203125, 1.00000298023223876953125, 2.5, 0.999999940395355224609375, 0.02020195685327053070068359375
17,-0.328282833099365234375, -0.5, -0.5, 2.586793698355904780328273773193359375e-06, 0, 0, 0.010101010091602802276611328125, 0.999996662139892578125, 0.999996602535247802734375, 2.5, 0.999999940395355224609375, 0.02020208723843097686767578125
18,-0.318181812763214111328125, -0.5, -0.5, -2.56653123642536229453980922698974609375e-07, 0, 0, 0.010101010091602802276611328125, 0.99999797344207763671875, 0.999997913837432861328125, 2.5, 0.999999940395355224609375, 0.02020206116139888763427734375
19,-0.30808079242706298828125, -0.5, -0.5, -1.674833811193821020424365997314453125e-06, 0, 0, 0.010101010091602802276611328125, 1.00000011920928955078125, 1, 2.5, 0.999999940395355224609375, 0.020202018320560455322265625
20,-0.2979798018932342529296875, -0.5, -0.5, -8.331468279720866121351718902587890625e-07, 0, 0, 0.010101010091602802276611328125, 1.00000083446502685546875, 1.0000007152557373046875, 2.5, 0.999999940395355224609375, 0.020202003419399261474609375
21,-0.2878787815570831298828125, -0.5, -0.5, 4.849069910051184706389904022216796875e-07, 0, 0, 0.010101010091602802276611328125, 1.00000059604644775390625, 1.000000476837158203125, 2.5, 0.999999940395355224609375, 0.02020200900733470916748046875
22,-0.27777779102325439453125, -0.5, -0.5, 8.6146991407076711766421794891357421875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
23,-0.267676770687103271484375, -0.5, -0.5, 1.3094557971271569840610027313232421875e-07, 0, 0, 0.010101010091602802276611328125, 0.9999997615814208984375, 0.999999701976776123046875, 2.5, 0.999999940395355224609375, 0.02020202577114105224609375
24,-0.2575757503509521484375, -0.5, -0.5, -2.3265164372787694446742534637451171875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
25,-0.2474747598171234130859375, -0.5, -0.5, 8.837081821866377140395343303680419921875e-08, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
26,-0.2373737394809722900390625, -0.5, -0.5, -1.95003568848051145323552191257476806640625e-09, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
27,-0.2272727191448211669921875, -0.5, -0.5, -1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
28,-0.217171728610992431640625, -0.5, -0.5, 1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
29,-0.20707070827484130859375, -0.5, -0.5, -3.49947469345025276299399052959415712393820285797119140625e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
30,-0.196969687938690185546875, -0.5, -0.5, -1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
31,-0.1868686974048614501953125, -0.5, -0.5, 1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
32,-0.1767676770687103271484375, -0.5, -0.5, -3.49947469345025276299399052959415712393820285797119140625e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
33,-0.1666666567325592041015625, -0.5, -0.5, -1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
34,-0.15656566619873046875, -0.5, -0.5, 1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
35,-0.146464645862579345703125, -0.5, -0.5, -3.49947469345025276299399052959415712393820285797119140625e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
36,-0.13636362552642822265625, -0.5, -0.5, -1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
37,-0.1262626349925994873046875, -0.5, -0.5, 1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
38,-0.1161616146564483642578125, -0.5, -0.5, -3.49947469345025276299399052959415712393820285797119140625e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
39,-0.1060605943202972412109375, -0.5, -0.5, -1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
40,-0.095959603786468505859375, -0.5, -0.5, 1.1128316401709525962360203266143798828125e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
41,-0.0858585834503173828125, -0.5, -0.5, -3.49947469345025276299399052959415712393820285797119140625e-15, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
42,-0.075757563114166259765625, -0.5, -0.5, -1.0933370475640913355164229869842529296875e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
43,-0.0656565725803375244140625, -0.5, -0.5, 1.36634895397946820594370365142822265625e-07, 0, 0, 0.010101010091602802276611328125, 1, 0.999999940395355224609375, 2.5, 0.999999940395355224609375, 0.02020202018320560455322265625
44,-0.0555555522441864013671875, -0.5, -0.5, 1.579533517315212520770728588104248046875e-07, 0, 0, 0.010101010091602802276611328125, 0.99999988079071044921875, 0.999999821186065673828125, 2.5, 0.999999940395355224609375, 0.0202020220458507537841796875
